CCM Code,Campus,Campus Name,College,College Name,Major,Major Name,Self Support,Subcampus Ind,Ugrad Req Units,UC Discp,UC Discipline Name,CIP Code,CIP Name,Major Long Name
0104000,01,Berkeley,04,College Of Natural Resources,000,UNDECLARED,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",UNDECLARED
0104002,01,Berkeley,04,College Of Natural Resources,002,DOUBLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",DOUBLE MAJOR
0104003,01,Berkeley,04,College Of Natural Resources,003,TRIPLE MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",TRIPLE MAJOR
0104008,01,Berkeley,04,College Of Natural Resources,008,LIMITED,N,GENERAL CAMPUS,0,430,LETTERS,240199,"Liberal Arts and Sciences, General Studies and Humanities, Other.",LIMITED
0104021,01,Berkeley,04,College Of Natural Resources,021,AGRICULTURAL CHEM,N,GENERAL CAMPUS,120,120,AGRICULTURE & NATURAL RESOURCES,011101,"Plant Sciences, General.",AGRICULTURAL CHEMISTRY
0104024,01,Berkeley,04,College Of Natural Resources,024,AGRICULTURAL ECON,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,010103,Agricultural Economics.,AGRICULTURAL ECONOMICS
0104034,01,Berkeley,04,College Of Natural Resources,034,AGR & RES ECON & POLICY,N,GENERAL CAMPUS,0,320,SOCIAL SCIENCES,450603,Econometrics and Quantitative Economics.,AGRICULTURAL & RESOURCES ECONOMICS & POLICY
010409W,01,Berkeley,04,College Of Natural Resources,09W,NUTR SCI-TOXICOLOGY,N,GENERAL CAMPUS,120,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITIONAL SCIENCE-TOXICOLOGY
01040IV,01,Berkeley,04,College Of Natural Resources,0IV,M. OF NUTRI SCI & DIET,Y,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,MASTER OF NUTRITIONAL SCIENCES AND DIETETICS
01040JU,01,Berkeley,04,College Of Natural Resources,0JU,CLIMATE SOLUTIONS,Y,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,300601,Systems Science and Theory.,CLIMATE SOLUTIONS
0104115,01,Berkeley,04,College Of Natural Resources,115,BIOENERGETICS,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,019999,"Agricultural/Animal/Plant/Veterinary Science And Related Fields, Other.",BIOENERGETICS
0104128,01,Berkeley,04,College Of Natural Resources,128,BIOLOGY-NATRL RSRCE,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260101,"Biology/Biological Sciences, General.",BIOLOGY - NATURAL RESOURCES
0104134,01,Berkeley,04,College Of Natural Resources,134,BIORESOURCE SCIENCES,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,039999,"Natural Resources and Conservation, Other.",BIORESOURCE SCIENCES
0104189,01,Berkeley,04,College Of Natural Resources,189,COMP BIOCHEMISTRY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260202,Biochemistry.,COMPARATIVE BIOCHEMISTRY
0104202,01,Berkeley,04,College Of Natural Resources,202,CONSERV-NATRL RSRCS,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030101,"Natural Resources/Conservation, General.",CONSERVATION - NATURAL RESOURCES
0104206,01,Berkeley,04,College Of Natural Resources,206,CONSERV & RESOURC STUD,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030101,"Natural Resources/Conservation, General.",CONSERVATION & RESOURCE STUDIES
0104225,01,Berkeley,04,College Of Natural Resources,225,DIETETICS,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,DIETETICS
0104258,01,Berkeley,04,College Of Natural Resources,258,NUTRI SCI-PHYSIOLOGY,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITION SCIENCE-PHYSIOLOGY
0104263,01,Berkeley,04,College Of Natural Resources,263,NUTRI SCI-DIETETICS,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITION SCIENCE - DIETETICS
0104264,01,Berkeley,04,College Of Natural Resources,264,NUTRI SCI-TOXICOLOGY,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITION SCIENCE - TOXICOLOGY
01042C5,01,Berkeley,04,College Of Natural Resources,2C5,DEVEL PRACTICE (UCB),N,GENERAL CAMPUS,0,010,GENERAL OR UNCLASSIFIED,030101,"Natural Resources/Conservation, General.",DEVELOPMENT PRACTICE (UCB)
01042E7,01,Berkeley,04,College Of Natural Resources,2E7,ECO MGMT FRSTY - NRM,N,GENERAL CAMPUS,120,120,AGRICULTURE & NATURAL RESOURCES,030101,"Natural Resources/Conservation, General.",ECOSYSTEM MANAGEMENT AND FORESTRY - NATURAL RESOURCE MANAGEMENT
01042E8,01,Berkeley,04,College Of Natural Resources,2E8,ECO MGMT FRSTY - FORESTRY,N,GENERAL CAMPUS,120,120,AGRICULTURE & NATURAL RESOURCES,030502,Forest Sciences and Biology.,ECOSYSTEM MANAGEMENT AND FORESTRY - FORESTRY
0104348,01,Berkeley,04,College Of Natural Resources,348,ENTOMOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260702,Entomology.,ENTOMOLOGY
0104351,01,Berkeley,04,College Of Natural Resources,351,ENVIRONMENTAL SCI,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030104,Environmental Science.,ENVIRONMENTAL SCIENCE
0104356,01,Berkeley,04,College Of Natural Resources,356,ENVIRON STUDIES,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030104,Environmental Science.,ENVIRONMENTAL STUDIES
0104368,01,Berkeley,04,College Of Natural Resources,368,MOLECULAR TOXICOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,261004,Toxicology.,MOLECULAR TOXICOLOGY
0104370,01,Berkeley,04,College Of Natural Resources,370,ENVIRONMENTAL SCIENCE I,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030104,Environmental Science.,ENVIRONMENTAL SCIENCE I
0104371,01,Berkeley,04,College Of Natural Resources,371,FOOD NUTRIT DIET,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,FOOD NUTRITION DIETETICS
0104372,01,Berkeley,04,College Of Natural Resources,372,FOOD & NUTRITION SCI,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,FOOD & NUTRITION SCIENCE
0104374,01,Berkeley,04,College Of Natural Resources,374,ENVIRONMENTAL SCIENCE II,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030104,Environmental Science.,ENVIRONMENTAL SCIENCE II
0104375,01,Berkeley,04,College Of Natural Resources,375,FOOD SCIENCE,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,FOOD SCIENCE
0104376,01,Berkeley,04,College Of Natural Resources,376,FOREST PRODUCTS,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030509,Wood Science And Wood Products/Pulp And Paper Technology/Technician.,FOREST PRODUCTS
0104377,01,Berkeley,04,College Of Natural Resources,377,ENVIRONMENTAL SCIENCE III,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030104,Environmental Science.,ENVIRONMENTAL SCIENCE III
0104380,01,Berkeley,04,College Of Natural Resources,380,FORESTRY,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030501,"Forestry, General.",FORESTRY
0104390,01,Berkeley,04,College Of Natural Resources,390,GENETICS,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260801,"Genetics, General.",GENETICS
0104392,01,Berkeley,04,College Of Natural Resources,392,GENETICS RESOURCES,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260899,"Genetics, Other.",GENETICS RESOURCES
01043A2,01,Berkeley,04,College Of Natural Resources,3A2,SOCIETY AND ENVIRONMENT,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030103,Environmental Studies.,SOCIETY AND ENVIRONMENT
0104451,01,Berkeley,04,College Of Natural Resources,451,INDIVIDUAL MAJOR,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,309999,"Multi-/Interdisciplinary Studies, Other.",INDIVIDUAL MAJOR
0104574,01,Berkeley,04,College Of Natural Resources,574,MOLECULAR PLANT BIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260301,Botany/Plant Biology.,MOLECULAR PLANT BIOLOGY
01045A7,01,Berkeley,04,College Of Natural Resources,5A7,MICROBIAL BIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260502,"Microbiology, General.",MICROBIAL BIOLOGY
0104603,01,Berkeley,04,College Of Natural Resources,603,NUTRITION,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITION
0104606,01,Berkeley,04,College Of Natural Resources,606,NUTRITIONAL SCIENCE,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITIONAL SCIENCE
0104607,01,Berkeley,04,College Of Natural Resources,607,NUTRIT & CLINIC DIET,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITION & CLINICAL DIETETICS
0104608,01,Berkeley,04,College Of Natural Resources,608,NUTRITION & FOOD SCIENCE,N,GENERAL CAMPUS,0,020,INTERDISCIPLINARY STUDIES,301901,Nutrition Sciences.,NUTRITION & FOOD SCIENCE
0104630,01,Berkeley,04,College Of Natural Resources,630,PARISITOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260505,Parasitology.,PARISITOLOGY
0104637,01,Berkeley,04,College Of Natural Resources,637,PEST MANAGEMENT,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,011105,Plant Protection And Integrated Pest Management.,PEST MANAGEMENT
0104680,01,Berkeley,04,College Of Natural Resources,680,PLANT BIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260301,Botany/Plant Biology.,PLANT BIOLOGY
0104681,01,Berkeley,04,College Of Natural Resources,681,PLANT PATHOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260305,Plant Pathology/Phytopathology.,PLANT PATHOLOGY
0104683,01,Berkeley,04,College Of Natural Resources,683,ENVIR SCI-POLICY & MGMT,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030103,Environmental Studies.,ENVIRONMENTAL SCIENCE - POLICY & MANAGEMENT
0104684,01,Berkeley,04,College Of Natural Resources,684,PLANT PHYSIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260307,Plant Physiology.,PLANT PHYSIOLOGY
0104691,01,Berkeley,04,College Of Natural Resources,691,PLANT & SOIL BIOLOGY,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,011201,"Soil Science And Agronomy, General.",PLANT & SOIL BIOLOGY
0104698,01,Berkeley,04,College Of Natural Resources,698,POL ECON-NATRL RSRCS,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,039999,"Natural Resources and Conservation, Other.",POLITICAL ECONOMY - NATURAL RESOURCES
0104746,01,Berkeley,04,College Of Natural Resources,746,GENENTICS & PLANT BIOLOGY,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260301,Botany/Plant Biology.,GENETICS & PLANT BIOLOGY
0104779,01,Berkeley,04,College Of Natural Resources,779,ENVIR ECONOMICS & POLICY,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030103,Environmental Studies.,ENVIRONMENTAL ECONOMICS & POLICY
0104798,01,Berkeley,04,College Of Natural Resources,798,RANGE MANAGEMENT,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,011106,Range Science And Management.,RANGE MANAGEMENT
0104803,01,Berkeley,04,College Of Natural Resources,803,RESOURCE MANAGEMENT,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030201,"Environmental/Natural Resources Management And Policy, General.",RESOURCE MANAGEMENT
0104847,01,Berkeley,04,College Of Natural Resources,847,MOLECULAR ENVIRMNTL BIOL,N,GENERAL CAMPUS,0,110,BIOLOGICAL SCIENCES,260406,Cell/Cellular and Molecular Biology.,MOLECULAR ENVIRONMENTAL BIOLOGY
0104860,01,Berkeley,04,College Of Natural Resources,860,SOIL ENVIRONMENT,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,011201,"Soil Science And Agronomy, General.",SOIL ENVIRONMENT
0104875,01,Berkeley,04,College Of Natural Resources,875,SOIL RESOURCE MANGMT,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,030101,"Natural Resources/Conservation, General.",SOIL RESOURCE MANAGEMENT
0104876,01,Berkeley,04,College Of Natural Resources,876,SOIL SCIENCE,N,GENERAL CAMPUS,0,120,AGRICULTURE & NATURAL RESOURCES,011201,"Soil Science And Agronomy, General.",SOIL SCIENCE
