NAME,STATE,ZIP,NAICS_DESC
A CHILD'S GARDEN,CT,06484,ELEMENTARY AND SECONDARY SCHOOLS
BRIDGEPORT INTERNATIONAL ACADEMY,CT,06604,ELEMENTARY AND SECONDARY SCHOOLS
CARMEL ACADMEY,CT,06830,ELEMENTARY AND SECONDARY SCHOOLS
COUNTRY KIDS CLUB,CT,06804,ELEMENTARY AND SECONDARY SCHOOLS
EAGLE HILL SCHOOL,CT,06831,ELEMENTARY AND SECONDARY SCHOOLS
EASTON COUNTRY DAY SCHOOL,CT,06612,ELEMENTARY AND SECONDARY SCHOOLS
FAIRFIELD COUNTY SDA SCHOOL,CT,06606,ELEMENTARY AND SECONDARY SCHOOLS
FRASER WOODS MONTESSORI SCHOOL,CT,06470,ELEMENTARY AND SECONDARY SCHOOLS
GIANT STEPS CONNECTICUT,CT,06890,ELEMENTARY AND SECONDARY SCHOOLS
HOUSATONIC VALLEY WALDORF SCHOOL,CT,06470,ELEMENTARY AND SECONDARY SCHOOLS
LANDMARK PRESCHOOL,CT,06896,ELEMENTARY AND SECONDARY SCHOOLS
ABERCORN INTERNATIONAL SCHOOL,TX,78734,ELEMENTARY AND SECONDARY SCHOOLS
LANDMARK PRESCHOOL,CT,06880,ELEMENTARY AND SECONDARY SCHOOLS
OUR LADY OF GRACE NURSERY SCHOOL & KINDERGARTEN,CT,06906,ELEMENTARY AND SECONDARY SCHOOLS
OUR LADY STAR OF THE SEA SCHOOL,CT,06902,ELEMENTARY AND SECONDARY SCHOOLS
PIERREPONT SCHOOL,CT,06880,ELEMENTARY AND SECONDARY SCHOOLS
ST CATHERINE ACADEMY,CT,06825,ELEMENTARY AND SECONDARY SCHOOLS
ST JUDE SCHOOL,CT,06468,ELEMENTARY AND SECONDARY SCHOOLS
ST MARY SCHOOL,CT,06877,ELEMENTARY AND SECONDARY SCHOOLS
ST THERESA SCHOOL,CT,06611,ELEMENTARY AND SECONDARY SCHOOLS
ST VINCENT'S SPECIAL NEEDS SERVICES,CT,06611,ELEMENTARY AND SECONDARY SCHOOLS
THE CANAAN RIDGE SCHOOL,CT,06903,ELEMENTARY AND SECONDARY SCHOOLS
THE GREENWICH JAPANESE SCHOOL,CT,06830,ELEMENTARY AND SECONDARY SCHOOLS
THE STANWICH SCHOOL,CT,06830,ELEMENTARY AND SECONDARY SCHOOLS
TRINITY CATHOLIC MIDDLE,CT,06905,ELEMENTARY AND SECONDARY SCHOOLS
VILLA MARIA EDUCATION CENTER,CT,06903,ELEMENTARY AND SECONDARY SCHOOLS
WHITBY SCHOOL,CT,06831,ELEMENTARY AND SECONDARY SCHOOLS
WOOSTER SCHOOL,CT,06810,ELEMENTARY AND SECONDARY SCHOOLS
LITTLE WONDERS OF BAYBROOK BAPTIST,TX,77546,ELEMENTARY AND SECONDARY SCHOOLS
LLANO CHRISTIAN ACADEMY,TX,78643,ELEMENTARY AND SECONDARY SCHOOLS
LOGOS PREPARATORY SCHOOL,TX,77478,ELEMENTARY AND SECONDARY SCHOOLS
MACEDONIAN CHRISTIAN ACADEMY,TX,78537,ELEMENTARY AND SECONDARY SCHOOLS
MAINLAND CHRISTIAN ACADEMY INC.,TX,77591,ELEMENTARY AND SECONDARY SCHOOLS
MARBLE FALLS FIRST BAPTIST CHRISTIAN SCHOOL,TX,78654,ELEMENTARY AND SECONDARY SCHOOLS
MASTERPIECE BILINGUAL ACADEMY,TX,78414,ELEMENTARY AND SECONDARY SCHOOLS
MESORAH HIGH SCHOOL FOR GIRLS,TX,75251,ELEMENTARY AND SECONDARY SCHOOLS
MIDLAND CLASSICAL ACADEMY,TX,79705,ELEMENTARY AND SECONDARY SCHOOLS
MONTESSORI COUNTRY DAY SCHOOL,TX,77004,ELEMENTARY AND SECONDARY SCHOOLS
MONTESSORI SCHOOL OF SUGAR LAND,TX,77479,ELEMENTARY AND SECONDARY SCHOOLS
MORNING STAR ACADEMY,TX,75418,ELEMENTARY AND SECONDARY SCHOOLS
MOSAIC ACADEMY,TX,76104,ELEMENTARY AND SECONDARY SCHOOLS
ALL SAINTS CATHOLIC SCHOOL,CT,06851,ELEMENTARY AND SECONDARY SCHOOLS
AMERICAN SCHOOL FOR THE DEAF,CT,06107,ELEMENTARY AND SECONDARY SCHOOLS
BRUNSWICK SCHOOL,CT,06830,ELEMENTARY AND SECONDARY SCHOOLS
CATHOLIC ACADEMY OF BRIDGEPORT/ST RAPHAEL ACADEMY,CT,06604,ELEMENTARY AND SECONDARY SCHOOLS
CHRISTIAN HERITAGE SCHOOL,CT,06611,ELEMENTARY AND SECONDARY SCHOOLS
CHRISTIAN LIFE ACADEMY,CT,06804,ELEMENTARY AND SECONDARY SCHOOLS
EAGLE HILL - SOUTHPORT,CT,06890,ELEMENTARY AND SECONDARY SCHOOLS
FAIRFIELD COLLEGE PREPARATORY,CT,06824,ELEMENTARY AND SECONDARY SCHOOLS
