NAME,STATE,LEVEL_
ALDEN-HEBRON HIGH SCHOOL,IL,HIGH
DR. CAMILLE CASTEEL HIGH SCHOOL,AZ,HIGH
MANSON MESA HIGH SCHOOL,AZ,HIGH
PARAMOUNT COLLEGIATE ACADEMY,CA,HIGH
BURBANK UNIFIED INDEPENDENT LEARNING ACADEMY (BUILA),CA,HIGH
PINNACLES COMMUNITY,CA,HIGH
OAKLAND UNITY MIDDLE,CA,MIDDLE
KINGSMAN ACADEMY PCS,DC,HIGH
MONUMENT ACADEMY PCS,DC,MIDDLE
AMIKIDS CLAY COUNTY,FL,HIGH
VIRTUE ARTS AND SCIENCE MIDDLE SCHOOL,FL,MIDDLE
FOUR CORNERS CHARTER HIGH SCHOOL,FL,HIGH
ARC,IL,HIGH
CHRISMONT SAFE SCHOOL,IL,SECONDARY
SPRING GARDEN MIDDLE SCHOOL,IL,MIDDLE
EXCEL CENTER - UNIVERSITY HEIGHTS,IN,HIGH
DERBY NORTH MIDDLE SCHOOL,KS,MIDDLE
MINOR DANIELS ACADEMY,KY,HIGH
ALGIERS TECHNOLOGY ACADEMY,LA,HIGH
JEFFERSON RISE CHARTER SCHOOL,LA,MIDDLE
SPRINGFIELD MIDDLE SCHOOL,LA,MIDDLE
DETROIT EDISON PUBLIC SCHOOL ACADEMY HIGH SCHOOL,MI,HIGH
OAK HILLS HIGH SCHOOL,MN,HIGH
ALC - SECA - EY,MN,HIGH
ROMULUS VIRTUAL LEARNING CENTER,MI,HIGH
WASHBURN HIGH SCHOOL - SWS,MN,HIGH
GOODHUE HIGH SCHOOL CREDIT RECOVERY,MN,HIGH
VOLUNTEERS OF AMERICA EXTENDED,MN,HIGH
PHOENIX RECOVERY PROGRAMS,MN,HIGH
SOUTH HUNTERDON HIGH SCHOOL,NJ,HIGH
RAYMOND LESNIAK ENERGY STRENGTH HOPE RECOVERY HIGH SCHOOL,NJ,HIGH
EARLY COLLEGE HIGH SCHOOL,NC,SECONDARY
KIPP DURHAM COLLEGE PREPARATORY,NC,MIDDLE
TULSA HONOR ACADEMY CHARTER,OK,MIDDLE
COLLEGIATE HALL CHARTER SCHOOL,OK,MIDDLE
UPLIFT WILLIAMS PREPARATORY MIDDLE,TX,MIDDLE
DREW ACADEMY,TX,MIDDLE
KAUFFMAN LEADERSHIP ACADEMY,TX,SECONDARY
RIDGELINE HIGH SCHOOL,UT,HIGH
SKYRIDGE HIGH SCHOOL,UT,HIGH
S ST. PAUL COMMUNITY LRNG. CNTR.,MN,HIGH
SEQUOYAH HIGH SCHOOL,OK,HIGH
PREMIER H S AMERICAN YOUTHWORKS,TX,HIGH
SUMMIT ACADEMY TRANSITION HIGH SCHOOL-COLUMBUS,OH,HIGH
SUMMIT ACADEMY TRANSITION HIGH SCHOOL DAYTON,OH,HIGH
NAVAJO PREPARATORY SCHOOL,NM,HIGH
RESPONSIVE EDUCATION VIRTUAL LEARNING,TX,MIDDLE
CENTRO RESIDENCIAL DE OPORTUNIDADES EDUCATIVAS DE CEIBA,PR,HIGH
NUEVA SUP CON DEPARTAMENTO VOCACIONAL,PR,HIGH
CENTRO RESIDENCIAL DE OPORTUNIDADES EDUCATIVAS DE VILLALBA,PR,HIGH
WILLIAM RIVERA BETANCOURT (BO SAN ISIDRO VOCACIONAL),PR,HIGH
AGUEDA JOHNSTON MIDDLE SCHOOL,GU,MIDDLE
F.B. LEON GUERRERO MIDDLE SCHOOL,GU,MIDDLE
TARRANT CO COLLEGE SOUTH/FORT WORTH COLLEGIATE H S,TX,SECONDARY
PCJTED - AJO HIGH SCHOOL,AZ,HIGH
HALE COUNTY MIDDLE SCHOOL,AL,MIDDLE
JOE REDINGTON SENIOR JR/SR HIGH SCHOOL,AK,HIGH
MONTGOMERY PREPARATORY ACADEMY FOR CAREER TECHNOLOGIES,AL,HIGH
FARMINGTON FRESHMAN ACADEMY,AR,SECONDARY
FRANK MITCHELL INTERMEDIATE SCHOOL,AR,MIDDLE
BELLA VISTA ACADEMY,AZ,MIDDLE
AUHS ONLINE ACADAMY,AZ,HIGH
WOODDALE MIDDLE SCHOOL,TN,MIDDLE
THE EXCEL CENTER,TN,HIGH
PIVOT CHARTER SCHOOL,FL,HIGH
STEDY- ANTELOPE HS SATELLITE,AZ,HIGH
STEDY- SAN LUIS HS SATELLITE,AZ,HIGH
WOODLAND HIGH,MO,HIGH
STEDY- CIBOLA HIGH SCHOOL SATELLITE,AZ,HIGH
STEDY- KOFA HS SATELLITE,AZ,HIGH
AIM HIGHER COLLEGE PREP ACADEMY,AZ,HIGH
BASIS GOODYEAR,AZ,MIDDLE
CHATTANOOGA CHARTER SCHOOL OF EXCELLENCE MIDDLE SCHOOL,TN,MIDDLE
KNOWLEDGE ACADEMIES HIGH SCHOOL,TN,SECONDARY
CHEMAWA INDIAN SCHOOL,OR,HIGH
NORTHVIEW JUNIOR ACADEMY,TN,MIDDLE
SUMNER COUNTY MIDDLE TECHNICAL COLLEGE HIGH AT PORTLAND,TN,HIGH
UPLIFT PEAK PREPARATORY MIDDLE,TX,MIDDLE
LUTIE HIGH,MO,HIGH
MARICOPA INSTITUTE OF TECHNOLOGY,AZ,MIDDLE
COMPTON EARLY COLLEGE HIGH,CA,HIGH
PCJTED - BABOQUIVARI HIGH SCHOOL,AZ,HIGH
ELLIOTT COUNTY HIGH SCHOOL,KY,HIGH
NAVIT - ROUND VALLEY HIGH SCHOOL,AZ,HIGH
TWIN RIVERS CAREER & TECH ED AREA,IN,HIGH
GRAETTINGER-TERRIL MIDDLE SCHOOL,IA,MIDDLE
IRONDALE MIDDLE SCHOOL,AL,MIDDLE
PCJTED - CHOLLA HIGH SCHOOL,AZ,HIGH
WINFREE ACADEMY CHARTER SCHOOL DALLAS,TX,HIGH
DISCIPLINARY ALTERNATIVE EDUCATION PROGRAM,TX,SECONDARY
PACE PREPARATORY ACADEMY,AZ,HIGH
